yyyy-mm,departure_port,departure_lon,departure_lat,arrival_port,arrival_lon,arrival_lat,route,nonimal_fare_(AUD),real_fare_(AUD),normalized_nominal_fare,normalized_real_fare
2024-Mar,Adelaide,-34.9285,138.6007,Alice Springs,133.8807,-23.698,Adelaide - Alice Springs,461,461,0.28125,0.25743200506008856
2024-Mar,Adelaide,-34.9285,138.6007,Brisbane,153.0251,-27.4698,Adelaide - Brisbane,413,413,0.24933510638297873,0.22707147375079065
2024-Mar,Adelaide,-34.9285,138.6007,Canberra,149.13,-35.2809,Adelaide - Canberra,666,666,0.4175531914893617,0.3870967741935484
2024-Mar,Adelaide,-34.9285,138.6007,Darwin,130.8456,-12.4634,Adelaide - Darwin,691,691,0.4341755319148936,0.40290955091714103
2024-Mar,Adelaide,-34.9285,138.6007,Melbourne,144.9631,-37.8136,Adelaide - Melbourne,174,174,0.09042553191489362,0.07590132827324478
2024-Mar,Adelaide,-34.9285,138.6007,Perth,115.8605,-31.9505,Adelaide - Perth,674,674,0.4228723404255319,0.39215686274509803
2024-Mar,Adelaide,-34.9285,138.6007,Sydney,151.2093,-33.8688,Adelaide - Sydney,293,293,0.16954787234042554,0.15117014547754587
2024-Mar,Brisbane,-27.4698,153.0251,Canberra,149.13,-35.2809,Brisbane - Canberra,512,512,0.3151595744680851,0.28969006957621757
2024-Mar,Brisbane,-27.4698,153.0251,Darwin,130.8456,-12.4634,Brisbane - Darwin,714,714,0.449468085106383,0.4174573055028463
2024-Mar,Brisbane,-27.4698,153.0251,Hobart,147.3272,-42.8821,Brisbane - Hobart,753,753,0.4753989361702128,0.44212523719165087
2024-Mar,Brisbane,-27.4698,153.0251,Melbourne,144.9631,-37.8136,Brisbane - Melbourne,300,300,0.17420212765957446,0.1555977229601518
2024-Mar,Brisbane,-27.4698,153.0251,Perth,115.8605,-31.9505,Brisbane - Perth,544,544,0.33643617021276595,0.3099304237824162
2024-Mar,Brisbane,-27.4698,153.0251,Sydney,151.2093,-33.8688,Brisbane - Sydney,274,274,0.15691489361702127,0.13915243516761544
2024-Mar,Canberra,-35.2809,149.13,Melbourne,144.9631,-37.8136,Canberra - Melbourne,438,438,0.26595744680851063,0.2428842504743833
2024-Mar,Canberra,-35.2809,149.13,Sydney,151.2093,-33.8688,Canberra - Sydney,437,437,0.26529255319148937,0.2422517394054396
2024-Mar,Darwin,-12.4634,130.8456,Melbourne,144.9631,-37.8136,Darwin - Melbourne,814,814,0.5159574468085106,0.48070841239721696
2024-Mar,Darwin,-12.4634,130.8456,Perth,115.8605,-31.9505,Darwin - Perth,1132,1132,0.7273936170212766,0.6818469323213157
2024-Mar,Darwin,-12.4634,130.8456,Sydney,151.2093,-33.8688,Darwin - Sydney,1113,1113,0.7147606382978723,0.6698292220113852
2024-Mar,Gold Coast,-28.0167,153.4,Sydney,151.2093,-33.8688,Gold Coast - Sydney,154,154,0.07712765957446809,0.06325110689437065
2024-Mar,Hobart,-42.8821,147.3272,Melbourne,144.9631,-37.8136,Hobart - Melbourne,196,196,0.10505319148936171,0.08981657179000632
2024-Mar,Hobart,-42.8821,147.3272,Sydney,151.2093,-33.8688,Hobart - Sydney,233,233,0.12965425531914893,0.11321948134092347
2024-Mar,Melbourne,-37.8136,144.9631,Perth,115.8605,-31.9505,Melbourne - Perth,757,757,0.47805851063829785,0.44465528146742567
2024-Mar,Melbourne,-37.8136,144.9631,Sydney,151.2093,-33.8688,Melbourne - Sydney,279,279,0.16023936170212766,0.14231499051233396
2024-Mar,Perth,-31.9505,115.8605,Sydney,151.2093,-33.8688,Perth - Sydney,723,723,0.4554521276595745,0.42314990512333966
2024-Jan,Adelaide,-34.9285,138.6007,Alice Springs,133.8807,-23.698,Adelaide - Alice Springs,661,661,0.4142287234042553,0.38393421884882983
2024-Jan,Adelaide,-34.9285,138.6007,Brisbane,153.0251,-27.4698,Adelaide - Brisbane,323,323,0.18949468085106383,0.17014547754585704
2024-Jan,Adelaide,-34.9285,138.6007,Canberra,149.13,-35.2809,Adelaide - Canberra,543,543,0.3357712765957447,0.3092979127134725
2024-Jan,Adelaide,-34.9285,138.6007,Darwin,130.8456,-12.4634,Adelaide - Darwin,607,607,0.3783244680851064,0.3497786211258697
2024-Jan,Adelaide,-34.9285,138.6007,Melbourne,144.9631,-37.8136,Adelaide - Melbourne,153,153,0.0764627659574468,0.06261859582542695
2024-Jan,Adelaide,-34.9285,138.6007,Perth,115.8605,-31.9505,Adelaide - Perth,430,430,0.26063829787234044,0.23782416192283365
2024-Jan,Adelaide,-34.9285,138.6007,Sydney,151.2093,-33.8688,Adelaide - Sydney,247,247,0.1389627659574468,0.12207463630613535
2024-Jan,Brisbane,-27.4698,153.0251,Canberra,149.13,-35.2809,Brisbane - Canberra,370,370,0.22074468085106383,0.19987349778621125
2024-Jan,Brisbane,-27.4698,153.0251,Darwin,130.8456,-12.4634,Brisbane - Darwin,430,430,0.26063829787234044,0.23782416192283365
2024-Jan,Brisbane,-27.4698,153.0251,Hobart,147.3272,-42.8821,Brisbane - Hobart,312,312,0.18218085106382978,0.16318785578747627
2024-Jan,Brisbane,-27.4698,153.0251,Melbourne,144.9631,-37.8136,Brisbane - Melbourne,245,245,0.13763297872340424,0.12080961416824794
