Date,Location,WindGustSpeed
15/01/2013,Albury,30
15/03/2013,Albury,22
15/04/2013,Albury,30
15/05/2013,Albury,39
15/06/2013,Albury,17
15/07/2013,Albury,37
15/08/2013,Albury,20
15/09/2013,Albury,50
15/10/2013,Albury,30
15/11/2013,Albury,35
15/12/2013,Albury,41
15/01/2014,Albury,28
15/02/2014,Albury,20
15/03/2014,Albury,63
15/04/2014,Albury,50
15/05/2014,Albury,15
15/06/2014,Albury,35
15/07/2014,Albury,24
15/08/2014,Albury,19
15/09/2014,Albury,28
15/10/2014,Albury,22
15/11/2014,Albury,37
15/12/2014,Albury,39
15/01/2015,Albury,43
15/02/2015,Albury,24
15/03/2015,Albury,37
15/04/2015,Albury,39
15/05/2015,Albury,15
15/06/2015,Albury,17
15/07/2015,Albury,30
15/08/2015,Albury,17
15/09/2015,Albury,54
15/10/2015,Albury,39
15/11/2015,Albury,31
15/12/2015,Albury,24
15/01/2016,Albury,46
15/02/2016,Albury,41
15/03/2016,Albury,33
15/04/2016,Albury,17
15/05/2016,Albury,30
15/06/2016,Albury,15
15/07/2016,Albury,20
15/08/2016,Albury,19
15/09/2016,Albury,39
15/10/2016,Albury,35
15/11/2016,Albury,33
15/12/2016,Albury,33
15/01/2017,Albury,26
15/02/2017,Albury,31
15/03/2017,Albury,44
15/04/2017,Albury,33
15/05/2017,Albury,17
15/06/2017,Albury,17
15/01/2013,BadgerysCreek,37
15/03/2013,BadgerysCreek,20
15/04/2013,BadgerysCreek,26
15/05/2013,BadgerysCreek,41
15/06/2013,BadgerysCreek,48
15/07/2013,BadgerysCreek,7
15/08/2013,BadgerysCreek,52
15/09/2013,BadgerysCreek,31
15/10/2013,BadgerysCreek,28
15/11/2013,BadgerysCreek,41
15/12/2013,BadgerysCreek,35
15/01/2014,BadgerysCreek,35
15/02/2014,BadgerysCreek,28
15/03/2014,BadgerysCreek,78
15/04/2014,BadgerysCreek,37
15/05/2014,BadgerysCreek,13
15/06/2014,BadgerysCreek,56
15/07/2014,BadgerysCreek,11
15/08/2014,BadgerysCreek,26
15/09/2014,BadgerysCreek,28
15/10/2014,BadgerysCreek,57
15/11/2014,BadgerysCreek,30
15/12/2014,BadgerysCreek,28
15/01/2015,BadgerysCreek,33
15/02/2015,BadgerysCreek,28
15/03/2015,BadgerysCreek,48
15/04/2015,BadgerysCreek,50
15/05/2015,BadgerysCreek,33
15/06/2015,BadgerysCreek,15
15/07/2015,BadgerysCreek,15
15/08/2015,BadgerysCreek,22
15/09/2015,BadgerysCreek,63
15/10/2015,BadgerysCreek,24
15/11/2015,BadgerysCreek,NA
15/12/2015,BadgerysCreek,39
15/01/2016,BadgerysCreek,43
15/02/2016,BadgerysCreek,31
15/03/2016,BadgerysCreek,31
15/04/2016,BadgerysCreek,24
15/05/2016,BadgerysCreek,20
15/06/2016,BadgerysCreek,20
15/07/2016,BadgerysCreek,19
15/08/2016,BadgerysCreek,24
15/09/2016,BadgerysCreek,NA
15/10/2016,BadgerysCreek,26
15/11/2016,BadgerysCreek,30
15/12/2016,BadgerysCreek,NA
15/01/2017,BadgerysCreek,37
15/02/2017,BadgerysCreek,31
15/03/2017,BadgerysCreek,43
15/04/2017,BadgerysCreek,26
15/05/2017,BadgerysCreek,35
15/06/2017,BadgerysCreek,11
15/01/2013,Cobar,52
15/03/2013,Cobar,33
15/04/2013,Cobar,39
15/05/2013,Cobar,30
15/06/2013,Cobar,33
15/07/2013,Cobar,56
15/08/2013,Cobar,31
15/09/2013,Cobar,39
15/10/2013,Cobar,22
15/11/2013,Cobar,35
15/12/2013,Cobar,33
15/01/2014,Cobar,39
15/02/2014,Cobar,69
15/03/2014,Cobar,46
15/04/2014,Cobar,30
15/05/2014,Cobar,26
15/06/2014,Cobar,31
15/07/2014,Cobar,35
15/08/2014,Cobar,43
15/09/2014,Cobar,72
15/10/2014,Cobar,52
15/11/2014,Cobar,54
15/12/2014,Cobar,37
15/01/2015,Cobar,37
15/02/2015,Cobar,37
15/03/2015,Cobar,43
15/04/2015,Cobar,30
15/05/2015,Cobar,52
15/06/2015,Cobar,31
15/07/2015,Cobar,31
15/08/2015,Cobar,30
15/09/2015,Cobar,30
15/10/2015,Cobar,43
15/11/2015,Cobar,48
15/12/2015,Cobar,37
15/01/2016,Cobar,46
15/02/2016,Cobar,44
15/03/2016,Cobar,44
15/04/2016,Cobar,33
15/05/2016,Cobar,28
15/06/2016,Cobar,24
15/07/2016,Cobar,33
15/08/2016,Cobar,24
15/09/2016,Cobar,35
15/10/2016,Cobar,35
15/11/2016,Cobar,41
15/12/2016,Cobar,37
15/01/2017,Cobar,37
15/02/2017,Cobar,31
15/03/2017,Cobar,46
15/04/2017,Cobar,26
15/05/2017,Cobar,28
15/06/2017,Cobar,19
15/01/2013,CoffsHarbour,31
15/03/2013,CoffsHarbour,43
15/04/2013,CoffsHarbour,31
15/05/2013,CoffsHarbour,20
15/06/2013,CoffsHarbour,33
15/07/2013,CoffsHarbour,24
15/08/2013,CoffsHarbour,52
15/09/2013,CoffsHarbour,39
15/10/2013,CoffsHarbour,31
15/11/2013,CoffsHarbour,28
15/12/2013,CoffsHarbour,48
15/01/2014,CoffsHarbour,33
15/02/2014,CoffsHarbour,33
15/03/2014,CoffsHarbour,43
15/04/2014,CoffsHarbour,43
15/05/2014,CoffsHarbour,NA
