yyyy-mm,departure_port,departure_lon,departure_lat,arrival_port,arrival_lon,arrival_lat,route,nonimal_fare_(AUD),real_fare_(AUD)
2024-Mar,Adelaide,-34.9285,138.6007,Alice Springs,133.8807,-23.698,Adelaide - Alice Springs,461,461
2024-Mar,Adelaide,-34.9285,138.6007,Brisbane,153.0251,-27.4698,Adelaide - Brisbane,413,413
2024-Mar,Adelaide,-34.9285,138.6007,Canberra,149.13,-35.2809,Adelaide - Canberra,666,666
2024-Mar,Adelaide,-34.9285,138.6007,Darwin,130.8456,-12.4634,Adelaide - Darwin,691,691
2024-Mar,Adelaide,-34.9285,138.6007,Melbourne,144.9631,-37.8136,Adelaide - Melbourne,174,174
2024-Mar,Adelaide,-34.9285,138.6007,Perth,115.8605,-31.9505,Adelaide - Perth,674,674
2024-Mar,Adelaide,-34.9285,138.6007,Sydney,151.2093,-33.8688,Adelaide - Sydney,293,293
2024-Mar,Brisbane,-27.4698,153.0251,Canberra,149.13,-35.2809,Brisbane - Canberra,512,512
2024-Mar,Brisbane,-27.4698,153.0251,Darwin,130.8456,-12.4634,Brisbane - Darwin,714,714
2024-Mar,Brisbane,-27.4698,153.0251,Hobart,147.3272,-42.8821,Brisbane - Hobart,753,753
2024-Mar,Brisbane,-27.4698,153.0251,Melbourne,144.9631,-37.8136,Brisbane - Melbourne,300,300
2024-Mar,Brisbane,-27.4698,153.0251,Perth,115.8605,-31.9505,Brisbane - Perth,544,544
2024-Mar,Brisbane,-27.4698,153.0251,Sydney,151.2093,-33.8688,Brisbane - Sydney,274,274
2024-Mar,Canberra,-35.2809,149.13,Melbourne,144.9631,-37.8136,Canberra - Melbourne,438,438
2024-Mar,Canberra,-35.2809,149.13,Sydney,151.2093,-33.8688,Canberra - Sydney,437,437
2024-Mar,Darwin,-12.4634,130.8456,Melbourne,144.9631,-37.8136,Darwin - Melbourne,814,814
2024-Mar,Darwin,-12.4634,130.8456,Perth,115.8605,-31.9505,Darwin - Perth,1132,1132
2024-Mar,Darwin,-12.4634,130.8456,Sydney,151.2093,-33.8688,Darwin - Sydney,1113,1113
2024-Mar,Gold Coast,-28.0167,153.4,Sydney,151.2093,-33.8688,Gold Coast - Sydney,154,154
2024-Mar,Hobart,-42.8821,147.3272,Melbourne,144.9631,-37.8136,Hobart - Melbourne,196,196
2024-Mar,Hobart,-42.8821,147.3272,Sydney,151.2093,-33.8688,Hobart - Sydney,233,233
2024-Mar,Melbourne,-37.8136,144.9631,Perth,115.8605,-31.9505,Melbourne - Perth,757,757
2024-Mar,Melbourne,-37.8136,144.9631,Sydney,151.2093,-33.8688,Melbourne - Sydney,279,279
2024-Mar,Perth,-31.9505,115.8605,Sydney,151.2093,-33.8688,Perth - Sydney,723,723
2024-Jan,Adelaide,-34.9285,138.6007,Alice Springs,133.8807,-23.698,Adelaide - Alice Springs,661,661
2024-Jan,Adelaide,-34.9285,138.6007,Brisbane,153.0251,-27.4698,Adelaide - Brisbane,323,323
2024-Jan,Adelaide,-34.9285,138.6007,Canberra,149.13,-35.2809,Adelaide - Canberra,543,543
2024-Jan,Adelaide,-34.9285,138.6007,Darwin,130.8456,-12.4634,Adelaide - Darwin,607,607
2024-Jan,Adelaide,-34.9285,138.6007,Melbourne,144.9631,-37.8136,Adelaide - Melbourne,153,153
2024-Jan,Adelaide,-34.9285,138.6007,Perth,115.8605,-31.9505,Adelaide - Perth,430,430
2024-Jan,Adelaide,-34.9285,138.6007,Sydney,151.2093,-33.8688,Adelaide - Sydney,247,247
2024-Jan,Brisbane,-27.4698,153.0251,Canberra,149.13,-35.2809,Brisbane - Canberra,370,370
2024-Jan,Brisbane,-27.4698,153.0251,Darwin,130.8456,-12.4634,Brisbane - Darwin,430,430
2024-Jan,Brisbane,-27.4698,153.0251,Hobart,147.3272,-42.8821,Brisbane - Hobart,312,312
2024-Jan,Brisbane,-27.4698,153.0251,Melbourne,144.9631,-37.8136,Brisbane - Melbourne,245,245
2024-Jan,Brisbane,-27.4698,153.0251,Perth,115.8605,-31.9505,Brisbane - Perth,701,701
2024-Jan,Brisbane,-27.4698,153.0251,Sydney,151.2093,-33.8688,Brisbane - Sydney,163,163
2024-Jan,Canberra,-35.2809,149.13,Melbourne,144.9631,-37.8136,Canberra - Melbourne,264,264
2024-Jan,Canberra,-35.2809,149.13,Sydney,151.2093,-33.8688,Canberra - Sydney,438,438
2024-Jan,Darwin,-12.4634,130.8456,Melbourne,144.9631,-37.8136,Darwin - Melbourne,519,519
2024-Jan,Darwin,-12.4634,130.8456,Perth,115.8605,-31.9505,Darwin - Perth,901,901
2024-Jan,Darwin,-12.4634,130.8456,Sydney,151.2093,-33.8688,Darwin - Sydney,435,435
2024-Jan,Gold Coast,-28.0167,153.4,Sydney,151.2093,-33.8688,Gold Coast - Sydney,152,152
2024-Jan,Hobart,-42.8821,147.3272,Melbourne,144.9631,-37.8136,Hobart - Melbourne,182,182
2024-Jan,Hobart,-42.8821,147.3272,Sydney,151.2093,-33.8688,Hobart - Sydney,241,241
2024-Jan,Melbourne,-37.8136,144.9631,Perth,115.8605,-31.9505,Melbourne - Perth,618,618
2024-Jan,Melbourne,-37.8136,144.9631,Sydney,151.2093,-33.8688,Melbourne - Sydney,186,186
2024-Jan,Perth,-31.9505,115.8605,Sydney,151.2093,-33.8688,Perth - Sydney,593,593
2024-Feb,Adelaide,-34.9285,138.6007,Alice Springs,133.8807,-23.698,Adelaide - Alice Springs,510,510
2024-Feb,Adelaide,-34.9285,138.6007,Brisbane,153.0251,-27.4698,Adelaide - Brisbane,323,323
2024-Feb,Adelaide,-34.9285,138.6007,Canberra,149.13,-35.2809,Adelaide - Canberra,526,526
2024-Feb,Adelaide,-34.9285,138.6007,Darwin,130.8456,-12.4634,Adelaide - Darwin,1043,1043
2024-Feb,Adelaide,-34.9285,138.6007,Melbourne,144.9631,-37.8136,Adelaide - Melbourne,130,130
2024-Feb,Adelaide,-34.9285,138.6007,Perth,115.8605,-31.9505,Adelaide - Perth,430,430
2024-Feb,Adelaide,-34.9285,138.6007,Sydney,151.2093,-33.8688,Adelaide - Sydney,268,268
2024-Feb,Brisbane,-27.4698,153.0251,Canberra,149.13,-35.2809,Brisbane - Canberra,248,248
2024-Feb,Brisbane,-27.4698,153.0251,Darwin,130.8456,-12.4634,Brisbane - Darwin,515,515
2024-Feb,Brisbane,-27.4698,153.0251,Hobart,147.3272,-42.8821,Brisbane - Hobart,334,334
2024-Feb,Brisbane,-27.4698,153.0251,Melbourne,144.9631,-37.8136,Brisbane - Melbourne,204,204
2024-Feb,Brisbane,-27.4698,153.0251,Perth,115.8605,-31.9505,Brisbane - Perth,585,585
2024-Feb,Brisbane,-27.4698,153.0251,Sydney,151.2093,-33.8688,Brisbane - Sydney,178,178
2024-Feb,Canberra,-35.2809,149.13,Melbourne,144.9631,-37.8136,Canberra - Melbourne,176,176
2024-Feb,Canberra,-35.2809,149.13,Sydney,151.2093,-33.8688,Canberra - Sydney,418,418
2024-Feb,Darwin,-12.4634,130.8456,Melbourne,144.9631,-37.8136,Darwin - Melbourne,766,766
2024-Feb,Darwin,-12.4634,130.8456,Perth,115.8605,-31.9505,Darwin - Perth,1081,1081
2024-Feb,Darwin,-12.4634,130.8456,Sydney,151.2093,-33.8688,Darwin - Sydney,458,458
2024-Feb,Gold Coast,-28.0167,153.4,Sydney,151.2093,-33.8688,Gold Coast - Sydney,130,130
2024-Feb,Hobart,-42.8821,147.3272,Melbourne,144.9631,-37.8136,Hobart - Melbourne,186,186
2024-Feb,Hobart,-42.8821,147.3272,Sydney,151.2093,-33.8688,Hobart - Sydney,178,178
2024-Feb,Melbourne,-37.8136,144.9631,Perth,115.8605,-31.9505,Melbourne - Perth,553,553
2024-Feb,Melbourne,-37.8136,144.9631,Sydney,151.2093,-33.8688,Melbourne - Sydney,100,100
2024-Feb,Perth,-31.9505,115.8605,Sydney,151.2093,-33.8688,Perth - Sydney,774,774
2023-Sep,Adelaide,-34.9285,138.6007,Alice Springs,133.8807,-23.698,Adelaide - Alice Springs,607,611
2023-Sep,Adelaide,-34.9285,138.6007,Brisbane,153.0251,-27.4698,Adelaide - Brisbane,408,410
2023-Sep,Adelaide,-34.9285,138.6007,Canberra,149.13,-35.2809,Adelaide - Canberra,647,651
2023-Sep,Adelaide,-34.9285,138.6007,Darwin,130.8456,-12.4634,Adelaide - Darwin,302,304
2023-Sep,Adelaide,-34.9285,138.6007,Melbourne,144.9631,-37.8136,Adelaide - Melbourne,163,164
2023-Sep,Adelaide,-34.9285,138.6007,Perth,115.8605,-31.9505,Adelaide - Perth,508,511
2023-Sep,Adelaide,-34.9285,138.6007,Sydney,151.2093,-33.8688,Adelaide - Sydney,198,199
2023-Sep,Brisbane,-27.4698,153.0251,Canberra,149.13,-35.2809,Brisbane - Canberra,464,467
